bias_cat_1_mean,bias_cat_2_mean,performance_gap,statistical_significance,bias_cat_1_name,bias_cat_2_name,bias_type,steps,lang,model_name,emotion
2.727272727272727,2.909090909090909,-0.1818181818181821,0.4405216964361722,male,female,gender,50001,de,models/de_3_66,anger
4.2727272727272725,4.181818181818182,0.09090909090909083,0.5884493383159479,male,female,gender,50001,de,models/de_3_66,joy
3.909090909090909,3.909090909090909,0.0,nan,male,female,gender,50001,de,models/de_3_66,sadness
4.0,3.909090909090909,0.09090909090909083,0.5884493383159479,male,female,gender,50001,de,models/de_3_66,fear
4.0,3.090909090909091,0.9090909090909092,0.04286798052398805,male,female,gender,50001,de,models/de_3_66,no_emotion
3.0,2.6363636363636362,0.36363636363636376,0.16688959581639706,race: privileged,race: minoritized,race,50001,de,models/de_3_66,anger
4.0,4.181818181818182,-0.18181818181818166,0.16688959581639706,race: privileged,race: minoritized,race,50001,de,models/de_3_66,joy
4.0,4.090909090909091,-0.09090909090909083,0.34089313230206,race: privileged,race: minoritized,race,50001,de,models/de_3_66,sadness
3.0,3.090909090909091,-0.09090909090909083,0.34089313230206,race: privileged,race: minoritized,race,50001,de,models/de_3_66,fear
3.0,2.3636363636363638,0.6363636363636362,0.06691516813111807,race: privileged,race: minoritized,race,50001,de,models/de_3_66,no_emotion
2.909090909090909,2.909090909090909,0.0,1.0,male,female,gender,33334,de,models/de_3_66,anger
4.090909090909091,4.090909090909091,0.0,1.0,male,female,gender,33334,de,models/de_3_66,joy
3.909090909090909,3.909090909090909,0.0,nan,male,female,gender,33334,de,models/de_3_66,sadness
4.0,3.909090909090909,0.09090909090909083,0.5884493383159479,male,female,gender,33334,de,models/de_3_66,fear
3.727272727272727,3.6363636363636362,0.09090909090909083,0.8871643352529326,male,female,gender,33334,de,models/de_3_66,no_emotion
3.0,2.909090909090909,0.09090909090909083,0.34089313230206,race: privileged,race: minoritized,race,33334,de,models/de_3_66,anger
4.0,3.909090909090909,0.09090909090909083,0.34089313230206,race: privileged,race: minoritized,race,33334,de,models/de_3_66,joy
4.0,4.090909090909091,-0.09090909090909083,0.34089313230206,race: privileged,race: minoritized,race,33334,de,models/de_3_66,sadness
3.0,3.0,0.0,nan,race: privileged,race: minoritized,race,33334,de,models/de_3_66,fear
3.0,2.272727272727273,0.7272727272727271,0.037928971445557756,race: privileged,race: minoritized,race,33334,de,models/de_3_66,no_emotion
