bias_cat_1_mean,bias_cat_2_mean,performance_gap,statistical_significance,bias_cat_1_name,bias_cat_2_name,bias_type,steps,lang
3.8363636363636364,3.7636363636363637,0.07272727272727275,0.3987159493479342,male,female,gender,50001,de
4.054545454545455,3.8545454545454545,0.20000000000000018,0.0005491865107427672,male,female,gender,33334,de
3.6,3.381818181818182,0.21818181818181825,0.08981348122682112,race: privileged,race: minoritized,race,50001,de
3.6,3.5636363636363635,0.0363636363636366,0.6416354449154044,race: privileged,race: minoritized,race,33334,de
